doc_id,cleaned_text,bertopic_topic,bertopic_probability
229309449,huge house great location photo justice amazing,-1,0.0
57887496,emma taj lovely host provided necessary support required loved great style extremely comfortable ideal location recommend,109,1.0
245583998,razman place conveniently located docklands great size two people clean tidy amenity including towel toiletry etc close docklands pier function plenty restaurant within walking distance,-1,0.0
58760298,chris home really nice perfect location really close city centre apart fact kitchen bit empty pan cooking reccomend thanks,-1,0.0
149543916,rd floor outstanding view looking east morning see sunrise balloon road sky bus stop easy access arrival departure location great easy walk sight tram stop lina met exceptional recommend,1,0.6413392723761259
341851555,beautiful superb location view stunning host helpful responsive close city defiantly recommend,33,0.7705533464854217
138842995,,2,1.0
311273099,ben thoughtful host quick response good tip neighborhood place good location easy access city centre st kilda cool place hang,7,0.4531162010171887
56123204,clean described perfect location nicole friendly deal,3,0.6795772281184479
269769586,elaine craig absolutely wonderful host recommend private self contained bungalow elaine kind considerate professional take time assist guest anyway conscious maintaining privacy guest bungalow self lovely stylish cosy colder weather heating keep nice toasty enough electric blanket bed greatly appreciated struggled sleep colder weather truly going miss staying elaine craig bungalow truly home away home thank elaine craig wish could stayed longer,50,1.0
111569432,host robert wonderful made fell welcomed though stayed night helped even let check late neighbourhood wonderful lot food outlet supermarket walking distance place perfect recommended,16,0.9023473036540792
353626765,great location,41,0.5460238472008502
28970923,accommodating host arrived late night walter kind enough arrange key picked really made day long day ahead place described amenity needed ample accommodated whole family five adult two kid,14,0.43461112779695144
219559259,small place close city worth price,11,0.7762267725772971
218765699,amazing hospitality made feel home comfortable lot tip great restaurant recommendation beautifully clean amazing atmosphere wake morning even cat made feel welcome book next trip,-1,0.0
352886464,perfect,29,0.03174528897107626
159385259,comfortable friendly neighborhood well organized cleaned recommend,3,0.6032513036285232
290139958,debra great communication guest seamless check lovely heart cbd,0,1.0
213743461,amazing location central right near beach beautiful neat rooftop balcony open pm even though clint away great communication ensure could check receive recommendation place area major drawback hot room aircon bedroom one small squeaky fan despite leaving window open fan high day unfortunately still hotter inside outside making impossible sleep really suggest caution staying summer,-1,0.0
220128032,like thank justin kindness waiting check friendly attentive,-1,0.0
